Глубина по стволу,Глубина по вертикали,Спуск,Подъём,Бурение ротором,Бурение ГЗД,Синусоидальный изгиб(все операции),Спиральный изгиб(с вращением),Спиральный изгиб(без вращения),Предел натяжения,Грузоподъёмность вышки
1388.23,1388.2,13.21,27.9,14.86,9.7,-2.94,-4.16,-8.31,127.32,225
1397.35,1397.33,13.02,27.68,14.67,9.51,-5.2,-7.36,-14.71,127.32,225
1406.48,1406.46,12.84,27.45,14.47,9.33,-2.99,-4.23,-8.47,127.32,225
1415.61,1415.58,12.65,27.24,14.27,9.14,-15.24,-21.56,-43.12,127.32,225
1424.73,1424.71,12.49,26.97,14.08,8.97,-3.8,-5.37,-10.75,127.32,225
1433.86,1433.84,12.31,26.74,13.88,8.78,-2.3,-3.25,-6.49,127.32,225
1442.99,1442.96,12.12,26.53,13.68,8.59,-1.14,-1.61,-3.22,127.32,225
1452.11,1452.09,11.92,26.33,13.49,8.39,-3.16,-4.47,-8.93,127.32,225
1461.24,1461.22,11.74,26.12,13.29,8.21,-9.08,-12.84,-25.68,127.32,225
1470.37,1470.34,11.55,25.89,13.09,8.02,-11.5,-16.26,-32.51,127.32,225
1479.5,1479.47,11.39,25.63,12.9,7.84,-3.64,-5.15,-10.3,127.32,225
1488.62,1488.6,11.2,25.41,12.7,7.66,-10.64,-15.04,-30.08,127.32,225
1497.75,1497.72,11.03,25.16,12.5,7.48,-5.98,-8.45,-16.91,127.32,225
1506.88,1506.85,10.85,24.94,12.31,7.29,-0.3,-0.43,-0.85,127.32,225
1516,1515.98,10.65,24.73,12.11,7.1,-0.84,-1.19,-2.37,127.32,225
1525.13,1525.11,10.46,24.53,11.91,6.9,-5.01,-7.08,-14.16,127.32,225
1534.26,1534.23,10.27,24.31,11.71,6.71,-9.02,-12.75,-25.51,127.32,225
1543.38,1543.36,10.09,24.08,11.52,6.53,-4.7,-6.65,-13.29,127.32,225
1552.51,1552.49,9.91,23.85,11.32,6.34,-1.51,-2.14,-4.28,127.32,225
1561.64,1561.61,9.71,23.65,11.12,6.14,-1.54,-2.17,-4.34,127.32,225
1570.77,1570.74,9.52,23.45,10.93,5.95,-0.3,-0.43,-0.85,127.32,225
1579.89,1579.87,9.33,23.24,10.73,5.76,-6.4,-9.05,-18.1,127.32,225
1589.02,1588.99,9.14,23.01,10.53,5.57,-9.94,-14.05,-28.1,127.32,225
1598.15,1598.12,8.97,22.77,10.34,5.38,-3.13,-4.43,-8.85,127.32,225
1607.27,1607.25,8.78,22.56,10.14,5.19,-0.88,-1.24,-2.48,127.32,225
1616.4,1616.38,8.58,22.36,9.94,5,-5.11,-7.22,-14.45,127.32,225
1625.53,1625.5,8.39,22.14,9.75,4.81,-2.48,-3.5,-7.01,127.32,225
1634.65,1634.63,8.2,21.93,9.55,4.61,-3.62,-5.12,-10.24,127.32,225
1643.78,1643.76,8.01,21.71,9.35,4.42,-0.52,-0.74,-1.47,127.32,225
1652.91,1652.88,7.82,21.5,9.16,4.23,-1.92,-2.71,-5.43,127.32,225
1662.04,1662.01,7.63,21.3,8.96,4.03,-0.58,-0.82,-1.65,127.32,225
1671.16,1671.14,7.44,21.08,8.76,3.84,-2.71,-3.83,-7.66,127.32,225
1680.29,1680.26,7.24,20.87,8.57,3.64,-3.45,-4.88,-9.76,127.32,225
1689.42,1689.39,7.05,20.67,8.37,3.45,-2.21,-3.13,-6.25,127.32,225
1698.54,1698.52,6.86,20.46,8.17,3.26,-0.66,-0.93,-1.86,127.32,225
1707.67,1707.64,6.66,20.26,7.98,3.06,-0.37,-0.53,-1.05,127.32,225
1716.8,1716.77,6.47,20.06,7.78,2.87,-3.43,-4.86,-9.71,127.32,225
1725.92,1725.9,6.28,19.84,7.58,2.67,-0.77,-1.08,-2.16,127.32,225
1735.05,1735.03,6.08,19.64,7.38,2.48,-0.24,-0.33,-0.67,127.32,225
1744.18,1744.15,5.89,19.44,7.19,2.28,-1.82,-2.58,-5.15,127.32,225
1753.31,1753.28,5.69,19.23,6.99,2.08,-3.26,-4.6,-9.21,127.32,225
1762.43,1762.41,5.5,19.02,6.79,1.89,-13.68,-19.35,-38.7,127.32,225
1771.56,1771.53,5.33,18.78,6.6,1.7,-3.25,-4.6,-9.19,127.32,225
1780.69,1780.66,5.13,18.56,6.4,1.51,-6.65,-9.4,-18.8,127.32,225
1789.81,1789.79,4.95,18.34,6.2,1.32,-4.05,-5.73,-11.47,127.32,225
1798.94,1798.91,4.76,18.13,6.01,1.14,-8,-11.32,-22.64,127.32,225
1808.07,1808.04,4.57,17.91,5.81,0.95,-4.97,-7.03,-14.07,127.32,225
1817.19,1817.17,4.38,17.69,5.61,0.76,-5.15,-7.28,-14.56,127.32,225
1826.32,1826.29,4.19,17.47,5.42,0.57,-1.87,-2.64,-5.29,127.32,225
1835.45,1835.42,4,17.27,5.22,0.37,-1.07,-1.52,-3.04,127.32,225
1844.58,1844.55,3.8,17.07,5.03,0.18,-4.05,-5.72,-11.45,127.32,225
1853.7,1853.68,3.61,16.86,4.83,-0.02,-2.91,-4.11,-8.23,127.32,225
1862.83,1862.8,3.42,16.64,4.63,-0.21,-30.16,-42.65,-85.31,127.32,225
1871.96,1871.93,3.25,16.32,4.44,-0.4,-32.11,-45.41,-90.83,127.32,225
1881.08,1881.04,3.07,15.99,4.24,-0.59,-28.75,-40.66,-81.32,127.32,225
1890.21,1890.14,2.89,15.69,4.05,-0.77,-13.83,-19.55,-39.11,127.32,225
1899.34,1899.21,2.7,15.45,3.85,-0.96,-14.08,-19.91,-39.81,127.32,225
1908.46,1908.28,2.51,15.21,3.65,-1.15,-22.21,-31.41,-62.81,127.32,225
1917.59,1917.33,2.32,14.94,3.46,-1.33,-22.49,-31.8,-63.61,127.32,225
1926.72,1926.35,2.13,14.67,3.26,-1.51,-22.59,-31.95,-63.9,127.32,225
1926.72,1926.35,2.13,14.67,3.26,-1.51,-36.18,-51.17,-102.33,112.66,225
1933.47,1933,1.93,14.4,3.06,-1.7,-38.19,-54,-108,112.66,225
1940.22,1939.62,1.74,14.14,2.87,-1.87,-32.48,-45.94,-91.87,112.66,225
1946.97,1946.21,1.55,13.89,2.68,-2.04,-36.3,-51.34,-102.67,112.66,225
1953.72,1952.77,1.36,13.63,2.48,-2.22,-36.41,-51.49,-102.98,112.66,225
1953.72,1952.77,1.36,13.63,2.48,-2.22,-101.71,-143.83,-287.67,581.94,225
1962.72,1961.47,0.84,13.04,1.93,-2.72,-113.72,-160.82,-321.64,581.94,225
1971.72,1970.12,0.34,12.48,1.4,-3.19,-126.38,-178.72,-357.44,581.94,225
1980.72,1978.71,-0.17,11.88,0.84,-3.69,-141.92,-200.7,-401.39,581.94,225
1989.72,1987.22,-0.66,11.31,0.31,-4.14,-161.3,-228.1,-456.2,581.94,225
1998.72,1995.64,-1.13,10.73,-0.22,-4.59,-148.49,-209.98,-419.96,581.94,225
2007.72,2003.94,-1.59,10.18,-0.75,-5.02,-148.73,-210.33,-420.65,581.94,225
2007.72,2003.94,-1.59,10.18,-0.75,-5.02,-31.8,-44.97,-89.93,112.66,225
2014.47,2010.11,-1.74,9.98,-0.92,-5.15,-43.03,-60.85,-121.71,112.66,225
2021.22,2016.22,-1.89,9.76,-1.1,-5.28,-37.26,-52.69,-105.39,112.66,225
2027.97,2022.26,-2.04,9.55,-1.29,-5.41,-37.38,-52.86,-105.72,112.66,225
2034.72,2028.24,-2.18,9.35,-1.46,-5.54,-37.48,-53,-105.99,112.66,225
2034.72,2028.24,-2.18,9.35,-1.46,-5.54,-25.77,-36.44,-72.88,127.32,225
