MD,Incl.,Azim.,Sub-Sea,TVD,Local N Coord,Local E Coord,Global N Coord,Global E Coord,Dogleg,Vertical Section,Body_OD,Body_ID,Body_AvgJointLength,Stabilizer_Length,Stabilizer_OD,Stabilizer_ID,Weight,Coefficient of Friction,Minimum Yield Stress
360,0.377,143.13,377.362,359.994,-0.774,1.568,5089453.726,9691425.258,0.058,-0.19,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
370,0.55,132.6,387.362,369.994,-0.833,1.623,5089453.667,9691425.313,0.577,-0.23,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
380,0.417,117.846,397.362,379.994,-0.882,1.691,5089453.618,9691425.381,0.544,-0.25,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
390,0.54,119.793,407.361,389.993,-0.923,1.764,5089453.577,9691425.454,0.373,-0.26,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
400,0.47,107.205,417.361,399.993,-0.958,1.844,5089453.542,9691425.534,0.392,-0.27,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
410,0.22,68.121,427.361,409.993,-0.963,1.901,5089453.537,9691425.591,0.989,-0.26,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
420,0.107,130.192,437.361,419.993,-0.962,1.926,5089453.538,9691425.616,0.583,-0.25,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
430,0.31,156.007,447.361,429.993,-0.993,1.944,5089453.507,9691425.634,0.657,-0.27,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
440,0.33,160.94,457.361,439.992,-1.045,1.964,5089453.455,9691425.654,0.102,-0.31,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
450,0.18,176.175,467.36,449.992,-1.088,1.975,5089453.412,9691425.665,0.49,-0.35,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
460,0.613,141.548,477.36,459.992,-1.145,2.009,5089453.355,9691425.699,1.429,-0.39,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
470,0.59,133.15,487.36,469.992,-1.222,2.08,5089453.278,9691425.77,0.273,-0.44,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
480,0.26,112.423,497.359,479.991,-1.266,2.138,5089453.234,9691425.828,1.076,-0.46,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
490,0.14,45.665,507.359,489.991,-1.266,2.168,5089453.234,9691425.858,0.725,-0.45,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
500,0.39,175.222,517.359,499.991,-1.292,2.18,5089453.208,9691425.87,1.473,-0.47,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
510,0.187,202.227,527.359,509.991,-1.341,2.176,5089453.159,9691425.866,0.718,-0.52,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
520,0.167,264.507,537.359,519.991,-1.357,2.156,5089453.143,9691425.846,0.551,-0.54,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
530,0.287,212.118,547.359,529.991,-1.38,2.128,5089453.12,9691425.818,0.682,-0.57,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
540,0.303,196.665,557.359,539.991,-1.426,2.107,5089453.074,9691425.797,0.243,-0.62,101.6,82.3,9.144,0.433,138.91,76.2,26.41,0.25,105
